artist,id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
YoungBoy Never Broke Again,6kyT7ubem08Egg9a8f77OL,Self Control,0.82,0.6970000000000001,6.0,-7.296,0.0,0.3779999999999999,0.0349,0.0,0.1969999999999999,0.629,154.99200000000002,66
Rod Wave,6fWa5CRgy0z30OeGZyMBvD,Heart On Ice,0.733,0.389,10.0,-8.468,0.0,0.0738,0.0513,0.0,0.141,0.244,157.878,75
Post Malone,0hGH0S74Eoyv6mXZcOKtdQ,On The Road (feat. Meek Mill & Lil Baby),0.442,0.737,7.0,-5.046,1.0,0.109,0.0589,0.0,0.102,0.21,112.93,66
Lil Mosey,4E08gEca6avoGx5SS4MM6T,G Walk (with Chris Brown),0.7440000000000001,0.7090000000000001,0.0,-5.359,1.0,0.1009999999999999,0.275,0.0,0.126,0.72,89.969,74
Lil Tjay,03i4lR6ZZo0214WhmrE8t9,Hold On,0.6859999999999999,0.609,9.0,-6.784,0.0,0.165,0.142,0.0,0.0631,0.737,152.05,73
Young M.A,7cyeGclH71MayOuQ7qtLFl,BIG,0.86,0.507,0.0,-5.776,0.0,0.369,0.0408,6.15e-06,0.14,0.15,85.005,78
Post Malone,6UFEJuDXQMWhL5UH5f9fUR,Enemies (feat. DaBaby),0.542,0.674,6.0,-4.169,1.0,0.21,0.0588,0.0,0.0955,0.667,76.388,68
Tyla Yaweh,6VYXuUz1nYMap8gtqeIrQB,I Think I Luv Her,0.902,0.608,11.0,-6.238,1.0,0.27,0.0004559999999999,0.0,0.0621,0.836,84.001,78
Gucci Mane,5FDCDBFDKpf7TLzDx6r2Lp,Big Boy Diamonds (feat. Kodak Black & London On Da Track),0.883,0.635,0.0,-6.284,0.0,0.299,0.0307,0.0,0.114,0.542,129.042,77
Lil Nas X,4SDgTLDYrJ2UrHbkRkg7MD,Panini - DaBaby Remix,0.7170000000000001,0.598,5.0,-5.613,0.0,0.0809,0.22,0.0,0.122,0.496,153.905,85
Trippie Redd,2NSWi83peog6gHerzlMCqU,Love Me More,0.638,0.539,10.0,-5.853,1.0,0.0504,0.22,0.0,0.241,0.247,83.381,80
NLE Choppa,3fx31TjnwvwZIyAGHhOhA1,Forever,0.602,0.726,5.0,-4.856,0.0,0.129,0.382,0.0,0.0691,0.5539999999999999,90.108,77
Future,1wTH87zcNcR4vn1iJLDv0c,Last Name (feat. Lil Durk),0.6709999999999999,0.568,0.0,-6.48,1.0,0.421,0.17,0.0,0.139,0.336,113.296,71
Ski Mask The Slump God,4HPTladgOGcGzleMR3I0FK,Carbonated Water,0.938,0.5589999999999999,10.0,-6.734,1.0,0.312,0.0546,0.0,0.157,0.76,119.901,77
Tory Lanez,0mTKJnVf6GcujyDr1PZn0Q,Jerry Sprunger (with T-Pain),0.6940000000000001,0.7440000000000001,0.0,-5.334,0.0,0.297,0.144,0.0,0.0905,0.425,99.941,78
Lil Baby,7kex0hl1dCvv6UqqZKGi1t,"Catch The Sun - From ""Queen & Slim: The Soundtrack""",0.531,0.607,1.0,-7.338999999999999,1.0,0.11,0.183,0.0,0.11,0.103,82.586,69
David Guetta,5dS2dvXVPe7AR6UwBpnomW,Make It To Heaven (with Raye),0.5870000000000001,0.92,0.0,-4.697,0.0,0.0914,0.0936,0.073,0.185,0.35,126.035,38
Avicii,4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,0.5720000000000001,0.934,6.0,-5.053,0.0,0.0446,0.00292,0.0198,0.105,0.204,125.948,72
Galantis,35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],0.547,0.795,8.0,-3.721,1.0,0.0489,0.145,0.0,0.11,0.723,118.118,78
ILLENIUM,6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],0.563,0.81,2.0,-2.9210000000000003,1.0,0.0522,0.00522,0.0,0.0846,0.495,129.975,68
Various Artists,7x4CLIbKdDm2XrD1df1DGI,mmmminty,0.455,0.944,6.0,-4.925,1.0,0.141,0.0649,0.0,0.637,0.7829999999999999,128.018,0
Alesso,7JHdotEeGSIbtFuo4dVvsC,In The Middle,0.7509999999999999,0.92,9.0,-5.617999999999999,0.0,0.0964,0.00504,0.00302,0.127,0.633,122.991,71
Breathe Carolina,5OjDZNHerI7RrIHFJajOMD,Too Good,0.762,0.784,10.0,-5.415,0.0,0.0483,0.0961,0.000129,0.122,0.3989999999999999,121.966,59
Nicky Romero,2O5nUHrtyIAmUyzRUaRHO5,Love You Forever - Metrush Remix,0.614,0.805,11.0,-5.162000000000001,1.0,0.0504,0.044,1.85e-06,0.362,0.395,125.906,57
SNO,6xfT4ubp1ETiqfDtUbdYHI,Light Me Up,0.627,0.8220000000000001,2.0,-3.491,0.0,0.175,0.0148,0.0,0.141,0.24,126.014,44
David Guetta,3GT2CBmJWIEdCpHiB31WYK,Never Be Alone (feat. Aloe Blacc),0.535,0.906,6.0,-4.699,0.0,0.0353,0.0202,0.000715,0.0886,0.732,126.012,72
GATTÜSO,1ysP0xeOMwpdaPvYbZtBN5,When In Rome,0.706,0.8859999999999999,11.0,-4.945,1.0,0.0447,0.0444,3.5100000000000006e-05,0.2689999999999999,0.5539999999999999,119.992,64
The Chainsmokers,3DVc4VCjFaBAZF9OFquQqV,Takeaway - Sondr Remix,0.6829999999999999,0.899,10.0,-4.863,0.0,0.1119999999999999,0.0592,1.13e-06,0.177,0.373,120.974,46
M-22,6qLkMLUIkdtX34gHF9sPFL,After Hours,0.748,0.84,11.0,-4.537,0.0,0.054,0.0225,5.41e-06,0.139,0.68,123.974,70
DallasK,59jHH3RyODRyVPCgpM106o,I Know,0.6,0.873,10.0,-4.773,0.0,0.0795,0.0009,0.0010199999999999,0.156,0.295,122.045,61
Sam Smith,29MOOOmMRPeWyPwKQFoF5t,I Feel Love,0.7190000000000001,0.708,0.0,-7.417999999999999,1.0,0.0417,0.00645,0.201,0.064,0.256,126.015,79
Black Caviar,6aDKThz79NRnJsk4YOs0wG,Kubrick Faked The Moon Landing,0.9,0.878,0.0,-3.781,1.0,0.14,0.0067599999999999,0.7809999999999999,0.353,0.457,125.002,6
MK,4QUA94c3ycZm8dnpPih4sf,One Night (feat. Raphaella),0.486,0.8959999999999999,11.0,-6.189,0.0,0.0346,0.0015,0.0443,0.217,0.195,123.967,65
Tiësto,3M9Apu4OZfylLTFKvgEtKa,Ritual,0.647,0.726,3.0,-4.388999999999999,0.0,0.0552,0.157,0.0,0.0844,0.767,114.996,85
David Guetta,0IhTEIjFaRt3B2NQYf9azQ,Thing For You (With Martin Solveig),0.774,0.723,2.0,-5.545,1.0,0.0496,0.0395,1.82e-05,0.1,0.769,121.057,72
Various Artists,1yVL5vY2afS32mmynf33o6,today's best dance,0.0,0.6,8.0,-4.146,1.0,0.0,0.187,0.0,0.506,0.0,0.0,0
Idris Elba,5RLeVOsssApcHc6NMbz2BY,On Life - Jack Back Remix,0.61,0.777,9.0,-10.559,1.0,0.055,0.0207,0.7959999999999999,0.0995,0.263,122.995,43
Gorgon City,4Qv71lFPCObf7zol1uWCJb,There For You,0.5329999999999999,0.8440000000000001,11.0,-5.04,0.0,0.0302,0.0052899999999999,8.909999999999998e-05,0.0722,0.7120000000000001,123.971,73
